Wavelength (m),T = 273 K,T = 400 K,T = 600 K,T = 800 K,T = 1000 K,T = 1200 K,T = 1400 K,T = 1600 K,T = 1800 K,T = 2000 K,T = 2200 K,T = 2400 K,T = 2600 K,T = 2800 K,T = 3000 K
1e-07,2.6427853885272664e-219,2.5589999327867807e-147,6.054838899428914e-96,2.078794899812977e-70,3.5557598066368846e-55,4.4446037227128514e-45,6.579342702878561e-38,1.4610896303386359e-32,1.9894590771968744e-28,3.8595181191597195e-25,1.822315601261254e-22,2.990580793285312e-20,2.1820850582626265e-18,8.436922346448441e-17,1.9657041524693725e-15
1.0990990990990991e-07,8.119993532398924e-199,2.1484285578477035e-133,1.0184876376936472e-86,1.569824323664166e-63,1.0481244130294631e-49,1.5075388475067767e-40,4.762737264114983e-34,3.3209804063902665e-29,1.8366414035538463e-25,1.7328927043093438e-22,4.536491738543551e-20,4.5539855642935635e-18,2.19219652436281e-16,5.934174471437056e-15,1.0150801626263245e-13
1.1981981981981982e-07,9.840286520176888e-182,8.691190492858974e-122,4.949989105672234e-79,8.378133684162553e-58,3.73376024760501e-45,8.836484237684097e-37,7.69219413957977e-31,2.0397799098054935e-26,5.318127533079965e-23,2.749345798669524e-20,4.399430703949623e-18,2.930274400213076e-16,9.968682306229827e-15,2.0039640622179067e-13,2.648653589445865e-12
1.2972972972972972e-07,2.8438760632240678e-167,5.770421597890912e-112,1.5697575979784407e-72,5.813164988970884e-53,2.614834387821126e-41,1.3414726299607913e-33,3.917910395148413e-28,4.5798426869870226e-24,6.31436734232662e-21,1.9607988998222737e-18,2.067625980519562e-16,9.728259168088839e-15,2.4662157495438406e-13,3.85292240975759e-12,4.092842644379834e-11
1.3963963963963964e-07,7.107346782947076e-155,1.5116602952951542e-103,5.8187373524358195e-67,8.110914078323308e-49,5.099061044565259e-38,7.044807852337414e-31,8.060385888024877e-26,4.665508902710882e-22,3.7234686041184307e-19,7.466138442934617e-17,5.504375404111635e-15,1.921942377744034e-13,3.785520823129418e-12,4.763496432593212e-11,4.1949139975846615e-10
1.4954954954954954e-07,3.9572851519742804e-144,2.9760309598989033e-96,3.868603426540162e-62,3.134929034334833e-45,3.575129362636351e-35,1.5827596814245465e-28,8.03242068968885e-24,2.526881964741292e-20,1.2550552056797978e-17,1.721964728743024e-15,9.306821744661812e-14,2.508782567680241e-12,3.969701569052546e-11,4.140426369765354e-10,3.0987842122917385e-09
1.5945945945945944e-07,9.992822558262637e-135,7.14338787077844e-90,6.3629545092282735e-58,4.26909826751887e-42,1.0919005608980108e-32,1.7843365027066995e-26,4.443538586853322e-22,8.195394162354789e-19,2.687023100989852e-16,2.644366127083776e-14,1.0889722085701508e-12,2.340284214303173e-11,3.056934504861282e-10,2.705116535531533e-09,1.7557268042487923e-08
1.6936936936936936e-07,1.972162128155263e-126,3.0278670194010616e-84,3.311661612252741e-54,2.4622908372003385e-39,1.6824222584462693e-30,1.1403629266418113e-24,1.514573568482244e-20,1.7432694317936377e-17,3.960879560607879e-15,2.906780195624215e-13,9.415378629219617e-12,1.656495020798002e-10,1.826711598102027e-09,1.3980760900857425e-08,8.001322474637566e-08
1.792792792792793e-07,4.647169070240314e-119,3.0240239749064996e-79,6.605935528647915e-51,6.9415893943902605e-37,1.4661276474776766e-28,4.5429717224189854e-23,3.449515042826175e-19,2.610341115194574e-16,4.280086878972389e-14,2.419500470201799e-12,6.32999820565932e-11,9.32090624851701e-10,8.841478387542633e-09,5.947174745166609e-08,3.0432471933072077e-07
1.891891891891892e-07,1.8274169496524097e-112,8.93740525880058e-75,5.875827938564563e-48,1.0711316449677744e-34,7.908307052997119e-27,1.2159594914827197e-21,5.596823793312219e-18,2.9095201942876495e-15,3.5623898589538576e-13,1.5941767724520617e-11,3.4449109309456483e-10,4.3254136995395675e-09,3.5853306973344434e-08,2.1483733030090796e-07,9.945326014252973e-07
